conflict_id,entity_candidate,transport_mode,conflict_field,source_pair,source_a,value_a,source_b,value_b,delta_metric,resolution_status,resolution_action,requires_manual_review
CONF_0017,Teynampet <-> Teynampet Metro,metro,coordinates,CMRL_API <-> CHENNAI_COMMUNITY_GTFS,CMRL_API,"(13.03711844539991, 80.24551377789689)",CHENNAI_COMMUNITY_GTFS,"(13.03717, 80.24637)",92.9m,AUTO_RESOLVED,Resolved to authoritative operator / surveyed platform coordinates over street interpolation.,False
CONF_0018,Arignar Anna Alandur Metro <-> Alandur,metro,coordinates,CMRL_API <-> OSM_OVERPASS,CMRL_API,"(13.003989704098222, 80.20064840110591)",OSM_OVERPASS,"(13.0042558, 80.2014525)",92.0m,AUTO_RESOLVED,Resolved to authoritative operator / surveyed platform coordinates over street interpolation.,False
CONF_0019,Arignar Anna Alandur Metro <-> Alandur Metro,metro,coordinates,CMRL_API <-> CHENNAI_COMMUNITY_GTFS,CMRL_API,"(13.003989704098222, 80.20064840110591)",CHENNAI_COMMUNITY_GTFS,"(13.00421, 80.20129)",73.7m,AUTO_RESOLVED,Resolved to authoritative operator / surveyed platform coordinates over street interpolation.,False
CONF_0020,Meenambakkam <-> Meenambakkam,metro,coordinates,CMRL_API <-> OSM_OVERPASS,CMRL_API,"(12.98784601318242, 80.1754832739529)",OSM_OVERPASS,"(12.9876728, 80.1764787)",109.6m,UNRESOLVED_NONBLOCKING,Facility span / multi-entrance coordinate variation (100m-500m). Surveyed OSM/operator coordinates preferred.,True
CONF_0021,Meenambakkam <-> Meeanambakkam Metro,metro,coordinates,CMRL_API <-> CHENNAI_COMMUNITY_GTFS,CMRL_API,"(12.98784601318242, 80.1754832739529)",CHENNAI_COMMUNITY_GTFS,"(12.98746, 80.17596)",67.2m,AUTO_RESOLVED,Resolved to authoritative operator / surveyed platform coordinates over street interpolation.,False
CONF_0022,Meenambakkam <-> Meeanambakkam Metro,metro,station_name,CMRL_API <-> CHENNAI_COMMUNITY_GTFS,CMRL_API,Meenambakkam,CHENNAI_COMMUNITY_GTFS,Meeanambakkam Metro,similarity=77.4%,AUTO_RESOLVED,Preserved secondary spelling/variant as searchable alias under canonical name.,False
CONF_0023,Chennai International Airport <-> Chennai Airport Metro,metro,coordinates,CMRL_API <-> CHENNAI_COMMUNITY_GTFS,CMRL_API,"(12.9808255, 80.1642095)",CHENNAI_COMMUNITY_GTFS,"(12.98178, 80.16326)",147.8m,UNRESOLVED_NONBLOCKING,Facility span / multi-entrance coordinate variation (100m-500m). Surveyed OSM/operator coordinates preferred.,True
CONF_0024,Chennai International Airport <-> Chennai Airport Metro,metro,station_name,CMRL_API <-> CHENNAI_COMMUNITY_GTFS,CMRL_API,Chennai International Airport,CHENNAI_COMMUNITY_GTFS,Chennai Airport Metro,similarity=83.3%,AUTO_RESOLVED,Preserved secondary spelling/variant as searchable alias under canonical name.,False
CONF_0025,Mannadi <-> Mannadi Metro,metro,coordinates,OSM_OVERPASS <-> CHENNAI_COMMUNITY_GTFS,OSM_OVERPASS,"(13.095369, 80.2860786)",CHENNAI_COMMUNITY_GTFS,"(13.09425, 80.28618)",124.9m,UNRESOLVED_NONBLOCKING,Facility span / multi-entrance coordinate variation (100m-500m). Surveyed OSM/operator coordinates preferred.,True
CONF_0026,Anna Nagar East <-> Anna Nagar East Metro Station,metro,coordinates,OSM_OVERPASS <-> CHENNAI_COMMUNITY_GTFS,OSM_OVERPASS,"(13.0846312, 80.2203688)",CHENNAI_COMMUNITY_GTFS,"(13.0848, 80.21952)",93.8m,AUTO_RESOLVED,Resolved to authoritative operator / surveyed platform coordinates over street interpolation.,False
CONF_0027,Alandur <-> Alandur Metro,metro,coordinates,OSM_OVERPASS <-> CHENNAI_COMMUNITY_GTFS,OSM_OVERPASS,"(13.0042558, 80.2014525)",CHENNAI_COMMUNITY_GTFS,"(13.00375, 80.20073)",96.4m,AUTO_RESOLVED,Resolved to authoritative operator / surveyed platform coordinates over street interpolation.,False
CONF_0028,Tiruvalangadu <-> Thiruvalangadu,suburban_rail,coordinates,OSM_OVERPASS <-> OSM_OVERPASS,OSM_OVERPASS,"(13.0901816, 79.7637664)",OSM_OVERPASS,"(13.0904025, 79.7634037)",46.3m,AUTO_RESOLVED,Resolved to authoritative operator / surveyed platform coordinates over street interpolation.,False
CONF_0029,Nanganallur Road <-> Nanganallur Metro,metro,coordinates,OSM_OVERPASS <-> CHENNAI_COMMUNITY_GTFS,OSM_OVERPASS,"(12.9998483, 80.1940028)",CHENNAI_COMMUNITY_GTFS,"(12.99928, 80.19341)",90.1m,AUTO_RESOLVED,Resolved to authoritative operator / surveyed platform coordinates over street interpolation.,False
CONF_0030,Nanganallur Road <-> Nanganallur Metro,metro,station_name,OSM_OVERPASS <-> CHENNAI_COMMUNITY_GTFS,OSM_OVERPASS,Nanganallur Road,CHENNAI_COMMUNITY_GTFS,Nanganallur Metro,similarity=84.8%,AUTO_RESOLVED,Preserved secondary spelling/variant as searchable alias under canonical name.,False
CONF_0031,Vadapalani <-> Vadapalani,metro,coordinates,OSM_OVERPASS <-> OSM_OVERPASS,OSM_OVERPASS,"(13.0509367, 80.212065)",OSM_OVERPASS,"(13.0498295, 80.2114722)",138.9m,UNRESOLVED_NONBLOCKING,Facility span / multi-entrance coordinate variation (100m-500m). Surveyed OSM/operator coordinates preferred.,True
CONF_0032,Vadapalani <-> Vadapalani,metro,coordinates,OSM_OVERPASS <-> OSM_OVERPASS,OSM_OVERPASS,"(13.0509367, 80.212065)",OSM_OVERPASS,"(13.0498572, 80.2114685)",136.3m,UNRESOLVED_NONBLOCKING,Facility span / multi-entrance coordinate variation (100m-500m). Surveyed OSM/operator coordinates preferred.,True
CONF_0033,Mannadi <-> Mannadi Metro,metro,coordinates,OSM_OVERPASS <-> CHENNAI_COMMUNITY_GTFS,OSM_OVERPASS,"(13.0953587, 80.2861592)",CHENNAI_COMMUNITY_GTFS,"(13.09425, 80.28618)",123.3m,UNRESOLVED_NONBLOCKING,Facility span / multi-entrance coordinate variation (100m-500m). Surveyed OSM/operator coordinates preferred.,True
CONF_0034,Mannadi <-> Mannadi Metro,metro,coordinates,OSM_OVERPASS <-> CHENNAI_COMMUNITY_GTFS,OSM_OVERPASS,"(13.0954465, 80.2861312)",CHENNAI_COMMUNITY_GTFS,"(13.09425, 80.28618)",133.1m,UNRESOLVED_NONBLOCKING,Facility span / multi-entrance coordinate variation (100m-500m). Surveyed OSM/operator coordinates preferred.,True
CONF_0035,Nanganallur Road <-> Nanganallur Metro,metro,coordinates,OSM_OVERPASS <-> CHENNAI_COMMUNITY_GTFS,OSM_OVERPASS,"(12.9998739, 80.1939756)",CHENNAI_COMMUNITY_GTFS,"(12.99928, 80.19341)",90.1m,AUTO_RESOLVED,Resolved to authoritative operator / surveyed platform coordinates over street interpolation.,False
CONF_0036,Nanganallur Road <-> Nanganallur Metro,metro,station_name,OSM_OVERPASS <-> CHENNAI_COMMUNITY_GTFS,OSM_OVERPASS,Nanganallur Road,CHENNAI_COMMUNITY_GTFS,Nanganallur Metro,similarity=84.8%,AUTO_RESOLVED,Preserved secondary spelling/variant as searchable alias under canonical name.,False
CONF_0037,Nanganallur Road <-> Nanganallur Metro,metro,coordinates,OSM_OVERPASS <-> CHENNAI_COMMUNITY_GTFS,OSM_OVERPASS,"(12.9998798, 80.1940099)",CHENNAI_COMMUNITY_GTFS,"(12.99928, 80.19341)",93.1m,AUTO_RESOLVED,Resolved to authoritative operator / surveyed platform coordinates over street interpolation.,False
CONF_0038,Nanganallur Road <-> Nanganallur Metro,metro,station_name,OSM_OVERPASS <-> CHENNAI_COMMUNITY_GTFS,OSM_OVERPASS,Nanganallur Road,CHENNAI_COMMUNITY_GTFS,Nanganallur Metro,similarity=84.8%,AUTO_RESOLVED,Preserved secondary spelling/variant as searchable alias under canonical name.,False
CONF_0039,Meenambakkam <-> Meeanambakkam Metro,metro,coordinates,OSM_OVERPASS <-> CHENNAI_COMMUNITY_GTFS,OSM_OVERPASS,"(12.9876728, 80.1764787)",CHENNAI_COMMUNITY_GTFS,"(12.98746, 80.17596)",61.0m,AUTO_RESOLVED,Resolved to authoritative operator / surveyed platform coordinates over street interpolation.,False
CONF_0040,Meenambakkam <-> Meeanambakkam Metro,metro,station_name,OSM_OVERPASS <-> CHENNAI_COMMUNITY_GTFS,OSM_OVERPASS,Meenambakkam,CHENNAI_COMMUNITY_GTFS,Meeanambakkam Metro,similarity=77.4%,AUTO_RESOLVED,Preserved secondary spelling/variant as searchable alias under canonical name.,False
CONF_0041,Chennai International Airport <-> Chennai Airport Metro,metro,coordinates,OSM_OVERPASS <-> CHENNAI_COMMUNITY_GTFS,OSM_OVERPASS,"(12.9808092, 80.1642026)",CHENNAI_COMMUNITY_GTFS,"(12.98178, 80.16326)",148.6m,UNRESOLVED_NONBLOCKING,Facility span / multi-entrance coordinate variation (100m-500m). Surveyed OSM/operator coordinates preferred.,True
CONF_0042,Chennai International Airport <-> Chennai Airport Metro,metro,station_name,OSM_OVERPASS <-> CHENNAI_COMMUNITY_GTFS,OSM_OVERPASS,Chennai International Airport,CHENNAI_COMMUNITY_GTFS,Chennai Airport Metro,similarity=83.3%,AUTO_RESOLVED,Preserved secondary spelling/variant as searchable alias under canonical name.,False
CONF_0043,திருவொற்றியூர் தேரடி <-> திருவொற்றியூர் தேரடி,metro,coordinates,OSM_OVERPASS <-> OSM_OVERPASS,OSM_OVERPASS,"(13.1604851, 80.3024786)",OSM_OVERPASS,"(13.1600715, 80.302432)",46.3m,AUTO_RESOLVED,Resolved to authoritative operator / surveyed platform coordinates over street interpolation.,False
CONF_0044,Thirumangalam <-> Thirumangalam Metro,metro,coordinates,OSM_OVERPASS <-> CHENNAI_COMMUNITY_GTFS,OSM_OVERPASS,"(13.0852364, 80.2015891)",CHENNAI_COMMUNITY_GTFS,"(13.08543, 80.20121)",46.4m,AUTO_RESOLVED,Resolved to authoritative operator / surveyed platform coordinates over street interpolation.,False
CONF_0045,Thirumangalam <-> Thirumangalam Metro,metro,coordinates,OSM_OVERPASS <-> CHENNAI_COMMUNITY_GTFS,OSM_OVERPASS,"(13.0852364, 80.2015891)",CHENNAI_COMMUNITY_GTFS,"(13.08514, 80.20118)",45.6m,AUTO_RESOLVED,Resolved to authoritative operator / surveyed platform coordinates over street interpolation.,False
CONF_0046,Thirumangalam <-> Thirumangalam Metro,metro,coordinates,OSM_OVERPASS <-> CHENNAI_COMMUNITY_GTFS,OSM_OVERPASS,"(13.085253, 80.2015898)",CHENNAI_COMMUNITY_GTFS,"(13.08543, 80.20121)",45.6m,AUTO_RESOLVED,Resolved to authoritative operator / surveyed platform coordinates over street interpolation.,False
CONF_0047,Thirumangalam <-> Thirumangalam Metro,metro,coordinates,OSM_OVERPASS <-> CHENNAI_COMMUNITY_GTFS,OSM_OVERPASS,"(13.085253, 80.2015898)",CHENNAI_COMMUNITY_GTFS,"(13.08514, 80.20118)",46.1m,AUTO_RESOLVED,Resolved to authoritative operator / surveyed platform coordinates over street interpolation.,False
CONF_0048,Anna Nagar East <-> Anna Nagar East Metro Station,metro,coordinates,OSM_OVERPASS <-> CHENNAI_COMMUNITY_GTFS,OSM_OVERPASS,"(13.0845849, 80.2186077)",CHENNAI_COMMUNITY_GTFS,"(13.0848, 80.21952)",101.7m,UNRESOLVED_NONBLOCKING,Facility span / multi-entrance coordinate variation (100m-500m). Surveyed OSM/operator coordinates preferred.,True
CONF_0049,Koyambedu <-> Koyambedu Metro,metro,coordinates,OSM_OVERPASS <-> CHENNAI_COMMUNITY_GTFS,OSM_OVERPASS,"(13.0720413, 80.1951189)",CHENNAI_COMMUNITY_GTFS,"(13.07331, 80.19492)",142.7m,UNRESOLVED_NONBLOCKING,Facility span / multi-entrance coordinate variation (100m-500m). Surveyed OSM/operator coordinates preferred.,True
CONF_0050,Koyambedu <-> Koyambedu Metro,metro,coordinates,OSM_OVERPASS <-> CHENNAI_COMMUNITY_GTFS,OSM_OVERPASS,"(13.0720365, 80.195197)",CHENNAI_COMMUNITY_GTFS,"(13.07331, 80.19492)",144.8m,UNRESOLVED_NONBLOCKING,Facility span / multi-entrance coordinate variation (100m-500m). Surveyed OSM/operator coordinates preferred.,True
CONF_0051,Thiruporur Bus Stand <-> Thiruporur Bus Terminus,bus,station_name,OSM_OVERPASS <-> CHENNAI_COMMUNITY_GTFS,OSM_OVERPASS,Thiruporur Bus Stand,CHENNAI_COMMUNITY_GTFS,Thiruporur Bus Terminus,similarity=82.4%,AUTO_RESOLVED,Preserved secondary spelling/variant as searchable alias under canonical name.,False
CONF_0052,Bus Stand Kovalam <-> Kovalam Bus Terminus,bus,coordinates,OSM_OVERPASS <-> CHENNAI_COMMUNITY_GTFS,OSM_OVERPASS,"(12.7866073, 80.2501989)",CHENNAI_COMMUNITY_GTFS,"(12.78697, 80.24921)",114.6m,UNRESOLVED_NONBLOCKING,Facility span / multi-entrance coordinate variation (100m-500m). Surveyed OSM/operator coordinates preferred.,True
CONF_0053,Bus Stand Kovalam <-> Kovalam Bus Terminus,bus,station_name,OSM_OVERPASS <-> CHENNAI_COMMUNITY_GTFS,OSM_OVERPASS,Bus Stand Kovalam,CHENNAI_COMMUNITY_GTFS,Kovalam Bus Terminus,similarity=78.6%,AUTO_RESOLVED,Preserved secondary spelling/variant as searchable alias under canonical name.,False
CONF_0054,Semmanchery MTC Terminus <-> Semmancheri Bus Terminus,bus,station_name,OSM_OVERPASS <-> CHENNAI_COMMUNITY_GTFS,OSM_OVERPASS,Semmanchery MTC Terminus,CHENNAI_COMMUNITY_GTFS,Semmancheri Bus Terminus,similarity=83.3%,AUTO_RESOLVED,Preserved secondary spelling/variant as searchable alias under canonical name.,False
CONF_0055,Perumbakkam Bus Depot <-> Perumbakkam Bus Terminus,bus,coordinates,OSM_OVERPASS <-> CHENNAI_COMMUNITY_GTFS,OSM_OVERPASS,"(12.8866626, 80.2096881)",CHENNAI_COMMUNITY_GTFS,"(12.88746, 80.20906)",111.8m,UNRESOLVED_NONBLOCKING,Facility span / multi-entrance coordinate variation (100m-500m). Surveyed OSM/operator coordinates preferred.,True
CONF_0056,Perumbakkam Bus Depot <-> Perumbakkam Bus Terminus,bus,station_name,OSM_OVERPASS <-> CHENNAI_COMMUNITY_GTFS,OSM_OVERPASS,Perumbakkam Bus Depot,CHENNAI_COMMUNITY_GTFS,Perumbakkam Bus Terminus,similarity=83.3%,AUTO_RESOLVED,Preserved secondary spelling/variant as searchable alias under canonical name.,False
CONF_0057,Nainar Depot <-> Nainar Depot,bus,coordinates,OSM_OVERPASS <-> OSM_OVERPASS,OSM_OVERPASS,"(12.8774931, 80.2438102)",OSM_OVERPASS,"(12.8778797, 80.2438159)",43.0m,AUTO_RESOLVED,Resolved to authoritative operator / surveyed platform coordinates over street interpolation.,False
CONF_0058,Madipakkam Bus Stand <-> Madipakkam Bus Terminus,bus,station_name,OSM_OVERPASS <-> CHENNAI_COMMUNITY_GTFS,OSM_OVERPASS,Madipakkam Bus Stand,CHENNAI_COMMUNITY_GTFS,Madipakkam Bus Terminus,similarity=82.4%,AUTO_RESOLVED,Preserved secondary spelling/variant as searchable alias under canonical name.,False
CONF_0059,Nanganallur Bus Terminus <-> Nanganallur Bus Terminus,bus,coordinates,OSM_OVERPASS <-> CHENNAI_COMMUNITY_GTFS,OSM_OVERPASS,"(12.9778068, 80.1812484)",CHENNAI_COMMUNITY_GTFS,"(12.97763, 80.18171)",53.7m,AUTO_RESOLVED,Resolved to authoritative operator / surveyed platform coordinates over street interpolation.,False
CONF_0060,Nanganallur Bus Terminus <-> Nanganallur Bus Terminus,bus,coordinates,OSM_OVERPASS <-> CHENNAI_COMMUNITY_GTFS,OSM_OVERPASS,"(12.9778068, 80.1812484)",CHENNAI_COMMUNITY_GTFS,"(12.97801, 80.18158)",42.4m,AUTO_RESOLVED,Resolved to authoritative operator / surveyed platform coordinates over street interpolation.,False
CONF_0061,Guindy Bus Stand <-> Guindy Bus Terminus,bus,coordinates,OSM_OVERPASS <-> CHENNAI_COMMUNITY_GTFS,OSM_OVERPASS,"(13.0090591, 80.2107931)",CHENNAI_COMMUNITY_GTFS,"(13.00928, 80.21128)",58.2m,AUTO_RESOLVED,Resolved to authoritative operator / surveyed platform coordinates over street interpolation.,False
CONF_0062,Guindy Bus Stand <-> Guindy Bus Terminus,bus,station_name,OSM_OVERPASS <-> CHENNAI_COMMUNITY_GTFS,OSM_OVERPASS,Guindy Bus Stand,CHENNAI_COMMUNITY_GTFS,Guindy Bus Terminus,similarity=76.9%,AUTO_RESOLVED,Preserved secondary spelling/variant as searchable alias under canonical name.,False
CONF_0063,Kannagi Nagar MTCTerminus <-> Kannagi Nagar Bus Terminus,bus,coordinates,OSM_OVERPASS <-> CHENNAI_COMMUNITY_GTFS,OSM_OVERPASS,"(12.9256543, 80.2383079)",CHENNAI_COMMUNITY_GTFS,"(12.9253, 80.23832)",39.4m,AUTO_RESOLVED,Resolved to authoritative operator / surveyed platform coordinates over street interpolation.,False
CONF_0064,Kannagi Nagar MTCTerminus <-> Kannagi Nagar Bus Terminus,bus,station_name,OSM_OVERPASS <-> CHENNAI_COMMUNITY_GTFS,OSM_OVERPASS,Kannagi Nagar MTCTerminus,CHENNAI_COMMUNITY_GTFS,Kannagi Nagar Bus Terminus,similarity=86.3%,AUTO_RESOLVED,Preserved secondary spelling/variant as searchable alias under canonical name.,False
CONF_0065,Kannagi Nagar MTCTerminus <-> Kannagi Nagar Depot,bus,coordinates,OSM_OVERPASS <-> CHENNAI_COMMUNITY_GTFS,OSM_OVERPASS,"(12.9256543, 80.2383079)",CHENNAI_COMMUNITY_GTFS,"(12.92534, 80.23839)",36.1m,AUTO_RESOLVED,Resolved to authoritative operator / surveyed platform coordinates over street interpolation.,False
CONF_0066,Kannagi Nagar MTCTerminus <-> Kannagi Nagar Depot,bus,station_name,OSM_OVERPASS <-> CHENNAI_COMMUNITY_GTFS,OSM_OVERPASS,Kannagi Nagar MTCTerminus,CHENNAI_COMMUNITY_GTFS,Kannagi Nagar Depot,similarity=81.2%,AUTO_RESOLVED,Preserved secondary spelling/variant as searchable alias under canonical name.,False
CONF_0067,Adyar Depot <-> Adyar Depot,bus,coordinates,OSM_OVERPASS <-> OSM_OVERPASS,OSM_OVERPASS,"(12.9988972, 80.2559382)",OSM_OVERPASS,"(12.9984686, 80.2561546)",53.1m,AUTO_RESOLVED,Resolved to authoritative operator / surveyed platform coordinates over street interpolation.,False
CONF_0068,Adyar Depot <-> Adyar Depot,bus,coordinates,OSM_OVERPASS <-> CHENNAI_COMMUNITY_GTFS,OSM_OVERPASS,"(12.9988972, 80.2559382)",CHENNAI_COMMUNITY_GTFS,"(12.9978, 80.25617)",124.6m,UNRESOLVED_NONBLOCKING,Facility span / multi-entrance coordinate variation (100m-500m). Surveyed OSM/operator coordinates preferred.,True
CONF_0069,Adyar Depot <-> Adyar Depot,bus,coordinates,OSM_OVERPASS <-> CHENNAI_COMMUNITY_GTFS,OSM_OVERPASS,"(12.9988972, 80.2559382)",CHENNAI_COMMUNITY_GTFS,"(12.9991, 80.25638)",52.9m,AUTO_RESOLVED,Resolved to authoritative operator / surveyed platform coordinates over street interpolation.,False
CONF_0070,Adyar Depot <-> Adyar Depot,bus,coordinates,OSM_OVERPASS <-> CHENNAI_COMMUNITY_GTFS,OSM_OVERPASS,"(12.9984686, 80.2561546)",CHENNAI_COMMUNITY_GTFS,"(12.9978, 80.25617)",74.4m,AUTO_RESOLVED,Resolved to authoritative operator / surveyed platform coordinates over street interpolation.,False
CONF_0071,Adyar Depot <-> Adyar Depot,bus,coordinates,OSM_OVERPASS <-> CHENNAI_COMMUNITY_GTFS,OSM_OVERPASS,"(12.9984686, 80.2561546)",CHENNAI_COMMUNITY_GTFS,"(12.9991, 80.25638)",74.3m,AUTO_RESOLVED,Resolved to authoritative operator / surveyed platform coordinates over street interpolation.,False
CONF_0072,Adyar Depot <-> Adyar Depot,bus,coordinates,OSM_OVERPASS <-> CHENNAI_COMMUNITY_GTFS,OSM_OVERPASS,"(12.9984686, 80.2561546)",CHENNAI_COMMUNITY_GTFS,"(12.9988, 80.25588)",47.4m,AUTO_RESOLVED,Resolved to authoritative operator / surveyed platform coordinates over street interpolation.,False
CONF_0073,Adyar Depot <-> Adyar Depot,bus,coordinates,OSM_OVERPASS <-> CHENNAI_COMMUNITY_GTFS,OSM_OVERPASS,"(12.998741, 80.2561722)",CHENNAI_COMMUNITY_GTFS,"(12.9978, 80.25617)",104.6m,UNRESOLVED_NONBLOCKING,Facility span / multi-entrance coordinate variation (100m-500m). Surveyed OSM/operator coordinates preferred.,True
CONF_0074,Adyar Depot <-> Adyar Depot,bus,coordinates,OSM_OVERPASS <-> CHENNAI_COMMUNITY_GTFS,OSM_OVERPASS,"(12.998741, 80.2561722)",CHENNAI_COMMUNITY_GTFS,"(12.9991, 80.25638)",45.8m,AUTO_RESOLVED,Resolved to authoritative operator / surveyed platform coordinates over street interpolation.,False
CONF_0075,Poonamallee MTC Terminus <-> Poonamallee Bus Terminus,bus,coordinates,OSM_OVERPASS <-> CHENNAI_COMMUNITY_GTFS,OSM_OVERPASS,"(13.0511602, 80.0949546)",CHENNAI_COMMUNITY_GTFS,"(13.05183, 80.09491)",74.6m,AUTO_RESOLVED,Resolved to authoritative operator / surveyed platform coordinates over street interpolation.,False
CONF_0076,Ayyapanthangal <-> Iyyapanthangal Depot,bus,coordinates,OSM_OVERPASS <-> CHENNAI_COMMUNITY_GTFS,OSM_OVERPASS,"(13.0377933, 80.1349425)",CHENNAI_COMMUNITY_GTFS,"(13.03709, 80.13445)",94.7m,AUTO_RESOLVED,Resolved to authoritative operator / surveyed platform coordinates over street interpolation.,False
CONF_0077,Ayyapanthangal <-> Iyyapanthangal Depot,bus,station_name,OSM_OVERPASS <-> CHENNAI_COMMUNITY_GTFS,OSM_OVERPASS,Ayyapanthangal,CHENNAI_COMMUNITY_GTFS,Iyyapanthangal Depot,similarity=76.5%,AUTO_RESOLVED,Preserved secondary spelling/variant as searchable alias under canonical name.,False
CONF_0078,KK Nagar West MTC Terminus <-> KK Nagar West MTC Terminus,bus,coordinates,OSM_OVERPASS <-> OSM_OVERPASS,OSM_OVERPASS,"(13.0441595, 80.1933034)",OSM_OVERPASS,"(13.0441881, 80.1936767)",40.6m,AUTO_RESOLVED,Resolved to authoritative operator / surveyed platform coordinates over street interpolation.,False
