annotation_id,query,taxonomy_version
ANN_B2_213,Adyar से next train kab hai?,T2
ANN_B2_009,Alandur se Egmore?,T2
ANN_B2_264,Velachery se night last metro train kitne baje tak milti hai?,T2
ANN_B2_248,21G ka official schedule timetable kya hai gindi par,T2
ANN_B2_174,Thirumangalam to Saidapet travel ka ticket cost kitna hai?,T2
ANN_B2_120,Where should I interchange betwin Broadway and Poonamallee,T2
ANN_B2_018,a1 live stts trckr me abhi khn phnch hai,T2
ANN_B2_072,How frequently do metro services run from Egmore during the day?,T2
ANN_B2_282,A1 to war memorial,T2
ANN_B2_079,Does 570 stop at Guindy?,T2
ANN_B2_021,Velachery bus schedule or route?,T2
ANN_B2_298,Is there a direct bus or train from Adyar to Koyambedu?,T2
ANN_B2_249,vdpln to cntrl rt me ln chng khn krn hg,T2
ANN_B2_235,erport midnight train,T2
ANN_B2_028,बस A1 war memorial जाएगी?,T2
ANN_B2_204,Red Hills se Guindy local train aur bus dono combine karke route kya hia?,T2
ANN_B2_268,बस 570 gndy जएग,T2
ANN_B2_200,570 to kyoambedu,T2
ANN_B2_210,green line metro halts from tambaram to st thomas mount,T2
ANN_B2_342,21G tambaram hlat?,T2
ANN_B2_203,pllvrm to cntrl rt par lcl_trn ktn mnt ke gap me chlt hai,T2
ANN_B2_289,vd s cntrl ke ly sbh phl sbrbn_trn kb nklt h,T2
ANN_B2_221,वॉशरमैनपेट स्टेशन पर पार्किंग की क्या व्यवस्था उपलब्ध है?,T2
ANN_B2_281,Anna Nagar Tower se Central badalna kahan padega?,T2
ANN_B2_152,कोयम्बेडु पर bus कितनी कितनी देर में आती ह?ै,T2
ANN_B2_138,Tambaram से next train kab hai?,T2
ANN_B2_224,कहाँ से अडयार जाऊं?,T2
ANN_B2_273,central 8:30 am,T2
ANN_B2_271,कहाँ से एग्मोर जाऊं?,T2
ANN_B2_023,can i use chennai metro smart card for discount on airport to central journey,T2
ANN_B2_061,rt 5b,T2
ANN_B2_060,guindy 8:30 sm,T2
ANN_B2_324,Is Perungalathur station open right now?,T2
ANN_B2_242,route a1,T2
ANN_B2_184,102 to broadway ,T2
ANN_B2_332,Chromepet se Beach ke liye 07:45 baje scheduled suburban_train timing kya hai?,T2
ANN_B2_019,बस 29c san thome जाएगी,T2
ANN_B2_077,ब्रॉडवे से अडयार यात्रा के लिए टोकन या कार्ड नियम क्या है?,T2
ANN_B2_122,Guindy to Tambaram route par suburban_rail kitne minute ke gap me chalti hai?,T2
ANN_B2_244,How do I reach Koyambedu from Adyar by tarnsit?,T2
ANN_B2_285,Does route 21G halt at Guindy?,T2
ANN_B2_137,10:00 night scheduled metro departure from tmabaram?,T2
ANN_B2_346,29C to mnadaveli,T2
ANN_B2_100,बस 114 anna nagar जाएगी?,T2
ANN_B2_218,Good South Indian vegetarian restaurants near Washermenpet station?,T2
ANN_B2_167,Broadway से next train kab hia?,T2
ANN_B2_051,Shenoy Nagar bus schedule or rout,T2
ANN_B2_283,Route 23C?,T2
ANN_B2_039,570 airport jnuction?,T2
ANN_B2_178,चन्नई बच स मट्रो,T2
ANN_B2_259,आलंदूर स्टेशन कि जानकारी,T2
ANN_B2_070,iit madras campus se phoenix mall jane ke liye transit route kya hai,T2
ANN_B2_068,Vadapalani se Central metro se kaise juan?,T2
ANN_B2_048,Please list all stops along bus route A1,T2
ANN_B2_312,airport metro station concourse me ATM ya drinking water available hai?,T2
ANN_B2_336,वडपलनी से मेट्रो?,T2
